id;listtitle;keyword
1;Диагностика неисправностей ноутбука;Диагностика неисправностей ноутбука
1;;Диагностика ноутбука
1;;поиск неисправностей ноутбука
2;Чистка от пыли системы охлаждения ноутбука;Чистка от пыли системы охлаждения ноутбука
2;;читска от пыли ноутбука
2;;чистка охлаждения ноутбука
2;;нотбук греется
3;Замена термопасты ноутбука;Замена термопасты ноутбука
3;;Замена термоинтерфейсов ноутбука
4;Чистка ноутбука после залития;Чистка ноутбука после залития
4;;Чистка залитого нотбука
4;;Ремонт залитого ноутбука
4;;Ремонт нотбука после жидкости
4;;ремонт нотбука после залития
5;Разборка и сборка ноутбука;Разборка и сборка ноутбука
5;;разборка ноутбука
5;;сборка ноутбука
5;;собрать ноутбук
6;Замена матрицы ноутбука;Замена матрицы ноутбука
6;;Замена экрана ноутбука
6;;Замена монитора ноутбука
6;;Замена дисплея ноутбука
6;;Замена матрицы нетбука
6;;Замена экрана нетбука
6;;Замена монитора нетбука
6;;Замена дисплея нетбука
7;Замена клавиатуры ноутбука;Замена клавиатуры ноутбука
8;Замена жесткого диска ноутбука;Замена жесткого диска ноутбука
8;;замена hdd нотбука
9;Замена корпусных деталей ноутбука;Замена корпусных деталей ноутбука
9;;замена корпуса нотбука
9;;замена рамки матрицы
9;;замена частей корпуса
10;Замена кулера системы охлаждения ноутбука;Замена кулера системы охлаждения ноутбука
10;;замена вентилятора ноутбука
10;;замена кулера нотутбука
11;Замена батарейки БИОСа ноутбука;Замена батарейки БИОСа ноутбука
11;;замена батарейки нотбука
11;;перепайка батарейки биоса ноутбука
12;Замена тачпада ноутбука;Замена тачпада ноутбука
13;Замена материнской платы ноутбука;Замена материнской платы ноутбука
13;;Замена главной платы ноутбука
14;Замена петель ноутбука;Замена петель ноутбука
15;Замена веб камеры ноутбука;Замена веб камеры ноутбука
15;;Замена web камеры ноутбука
16;Замена Wi-Fi адаптера ноутбука;Замена WiFi адаптера ноутбука
16;;Замена вай фай адаптера
16;;замена wi fi ноутбука
16;;замена wifi ноутбука
17;Замена разъема питания ноутбука;Замена разъема питания ноутбука
17;;перепайка разъема питания ноутбука
18;Замена USB разъема ноутбука;Замена USB разъема ноутбука
18;;Замена усб разъема ноутбука
19;Замена шлейфа матрицы ноутбука;Замена шлейфа матрицы ноутбука
19;;Замена шлейфа дисплея ноутбука
19;;Замена шлейфа экрана ноутбука
19;;Замена шлейфа монитора ноутбука
20;Снятие пароля жесткого диска ноутбука;Снятие пароля жесткого диска ноутбука
20;;Снятие пароля hdd ноутбука
20;;Снятие пароля жесткого диска
20;;Снятие пароля hdd
20;;убрать пароль жесткого диска
20;;убрать пароль hdd
21;Ремонт цепи питания ноутбука;Ремонт цепи питания ноутбука
21;;ремонт питания ноутбука
21;;ноутбук не включается
22;Замена видеочипа ноутбука;Замена видеочипа ноутбука
22;;Реболинг видеочипа ноутбука
23;Замена южного моста ноутбука;Замена южного моста ноутбука
23;;реболинг южного моста нотбука
24;Замена северного моста ноутбука;Замена северного моста ноутбука
24;;реболинг северного моста нотбука
25;Ремонт материнской платы после залития с пайкой;Ремонт материнской платы после залития с пайкой
25;;пайка залитого нотбука
26;Восстановление корпусных деталей ноутбука;Восстановление корпусных деталей ноутбука
26;;ремонт корпусных деталей ноутбука
27;Диагностика неисправностей компьютера;Диагностика неисправностей компьютера
27;;Диагностика компьютера
27;;поиск неисправностей компьютера
28;Чистка от пыли системного блока;Чистка от пыли системного блока
28;;чистка компьютера от пыли
29;Замена термопасты на процессоре;Замена термопасты на процессоре
29;;замена термопасты компьютера
30;Замена корпуса компьютера;Замена корпуса компьютера
31;Замена блока питания компьютера;Замена блока питания компьютера
32;Замена кулера процессора;Замена кулера процессора
33;Установка водяного охлаждения;Установка водяного охлаждения
34;Замена материнской платы компьютера;Замена материнской платы компьютера
35;Замена видеокарты компьютера;Замена видеокарты компьютера
36;Замена или добавление оперативной памяти;Замена оперативной памяти
36;;добавление оперативной памяти
36;;установка оперативной памяти
37;Замена жесткого диска компьютера;Замена диска компьютера
37;;Замена жесткого диска компьютера
37;;Замена hdd компьютера
38;Установка SSD-диска;Установка SSD-диска
38;;установка ssd
39;Замена процессора компьютера;Замена процессора компьютера
39;;Замена процессора
39;;Замена cpu
40;Замена сетевой карты компьютера;Замена сетевой карты компьютера
41;Замена батарейки БИОСа;Замена батарейки БИОСа
42;Замена оптического привода;Замена оптического привода
42;;замена dvd
42;;замена blu ray
43;Перепрошивка БИОСа материнской платы;Перепрошивка БИОС материнской платы
43;;Перепрошивка БИОС компьютера
43;;Перепрошивка bios материнской платы
43;;Перепрошивка bios компьютера
44;Замена конденсаторов материнской платы;Замена конденсаторов материнской платы
44;;перепайка конденсаторов материнской платы
44;;пайка конденсаторов материнской платы
45;Ремонт блока питания;Ремонт блока питания
46;Замена разъемов передней панели;Замена разъемов передней панели
47;Установка картридера;Установка картридера
47;;Установка картридера в компьютер
48;Подключение передней панели;Подключение передней панели
48;;Подключение разъемов передней панели
49;Установка дополнительной передней панели;Установка дополнительной передней панели
50;Подключение дополнительного жесткого диска;Подключение дополнительного жесткого диска
51;Установка Windows;Установка Windows
51;;переустановка windows
51;;Установка виндовс
51;;переустановка виндовс
52;Переустановка MacOS;Переустановка MacOS
52;;Переустановка Mac OS
53;Установка Linux;Установка Linux
53;;Установка линукс
53;;Установка debian
53;;Установка ubuntu
53;;Установка centos
53;;Установка mint
53;;Установка Linux на сервер
53;;Установка линукс на сервер
54;Установка офисного пакета;Установка офисного пакета
54;;установка ms office
54;;установка microsoft office
54;;установка open office
55;Установка интернет браузера;Установка интернет браузера
55;;Установка chrome
55;;Установка opera
55;;Установка tor
55;;Установка firefox
56;Установка мультимедиа проигрывателя;Установка мультимедиа проигрывателя
56;;Установка проигрывателя компьютера
57;Установка кодеков;Установка кодеков
58;Установка месседжеров;Установка месседжеров
58;;Установка icq
58;;Установка skype
58;;Установка telegram
58;;Установка viber
58;;Установка whatsapp
59;Установка архиватора;Установка архиватора
59;;Установка zip
59;;Установка winrar
59;;Установка 7zip
60;Установка программы для записи дисков;Установка программы для записи дисков
61;Установка игры;Установка игры
62;Установка системных пакетов;Установка системных пакетов
62;;Установка directx
62;;Установка PhysX
62;;Установка Microsoft Visual C++
62;;Установка Microsoft .NET Framework
63;Установка файловых менеджеров;Установка файловых менеджеров
63;;установка total commander
64;Установка программы оптического распознавания текста;Установка программы оптического распознавания текста
64;;установка finereader
65;Установка шрифтов;Установка шрифтов
66;Установка драйверов чипсета;Установка драйверов чипсета
67;Установка драйверов видеокарты;Установка драйверов видеокарты
68;Установка драйверов звуковой карты;Установка драйверов звуковой карты
69;Установка драйверов сетевой карты;Установка драйверов сетевой карты
70;Установка драйверов Wi-Fi адаптера;Установка драйверов Wi-Fi адаптера
71;Установка драйверов тачпада;Установка драйверов тачпада
72;Установка драйверов вебкамеры;Установка драйверов вебкамеры
73;Установка драйверов принтера;Установка драйверов принтера
73;;Установка драйверов сетевого принтера
74;Установка драйвера сканера;Установка драйвера сканера
75;Установка антивируса;Установка антивируса
75;;Установка eset
75;;Установка kaspersky
75;;Установка avira
75;;Установка drweb
76;Установка межсетевого экрана (Firewall);Установка межсетевого экрана (Firewall)
77;Настройка BIOS;Настройка BIOS
77;;Настройка биоса
78;Разбивка диска на логические разделы;Разбивка диска на разделы
78;;Разбивка диска на логические разделы
79;Форматирование жесткого диска;Форматирование жесткого диска
80;Изменение файловой системы;Изменение файловой системы
80;;fat в ntfs
81;Восстановление запуска Windows;Восстановление запуска Windows
81;;Не запускается windows
81;;Восстановление запуска виндовс
81;;Не запускается виндовс
82;Настройка параметров автозагрузки Windows;Настройка параметров автозагрузки Windows
82;;настройка автозагрузки windows
82;;Настройка параметров автозагрузки виндовс
82;;настройка автозагрузки виндовс
83;Настройка графического интерфейса Windows;Настройка графического интерфейса Windows
83;;Настройка внешнего вида Windows
83;;Настройка графического интерфейса виндовс
83;;Настройка внешнего вида виндовс
84;Настройка расписания дефрагментации жесткого диска;Настройка расписания дефрагментации жесткого диска
84;;дефрагментации жесткого диска
85;Настройка параметров автоматического обновления Windows;Настройка параметров автоматического обновления Windows
85;;Настройка автоматического обновления Windows
85;;Настройка обновления Windows
85;;Настройка параметров автоматического обновления виндовс
85;;Настройка автоматического обновления виндовс
85;;Настройка обновления виндовс
86;Настройка уведомлений в Windows;Настройка уведомлений в Windows
86;;Настройка уведомлений в виндовс
87;Настройка файла подкачки Windows;Настройка файла подкачки Windows
87;;Настройка виртуальной памяти Windows
87;;Настройка файла подкачки виндовс
87;;Настройка виртуальной памяти виндовс
88;Настройка электропитания компьютера;Настройка электропитания компьютера
89;Настройка антивируса;Настройка антивируса
89;;Настройка eset
89;;Настройка kaspersky
89;;Настройка avira
89;;Настройка drweb
90;Настройка межсетевого экрана (Firewall);Настройка межсетевого экрана
90;;Настройка Firewall
91;Проверка и очистка от вирусов;Проверка на вирусы
91;;очистка от вирусов
91;;Проверка компьютера на вирусы
91;;очистка компьютера от вирусов
91;;Проверка ноутбука на вирусы
91;;очистка нотбука от вирусов
92;Удаление СМС баннера;Удаление СМС баннера
92;;windows заблокирован
92;;виндовс заблокирован
92;;убрать вирус вымогалтель
93;Очистка диска и системы от ненужных и старых файлов;Очистка диска и системы от ненужных и старых файлов
93;;очистка компьютера
93;;очистка ноутбука
94;Организация резервного копирования;Организация резервного копирования
94;;настройка резервного копирования
95;Перенос данных со старого компьютера или ноутбука;Перенос данных со старого компьютера
95;;Перенос данных со старого ноутбука
96;Создание образа раздела жесткого диска;Создание образа раздела
96;;Создание образа раздела жесткого диска
96;;Создание образа раздела hdd
97;Запись информации на компакт диск;Запись информации на компакт диск
97;;Запись дискjd
98;Сброс пароля Windows;Сброс пароля Windows
98;;восстановление пароля Windows
98;;убрать пароль Windows
98;;Сброс пароля виндовс
98;;восстановление пароля виндовс
98;;убрать пароль виндовс
99;Устранение ошибок в системном реестре, чистка реестра;Устранение ошибок в системном реестре
99;;чистка реестра
100;Сборка офисного компьютера под заказ;Сборка офисного компьютера
100;;Сборка офисного компьютера под заказ
101;Сборка домашнего компьютера под заказ;Сборка домашнего компьютера
101;;Сборка домашнего компьютера под заказ
102;Сборка игрового компьютера под заказ;Сборка игрового компьютера
102;;Сборка игрового компьютера под заказ
103;Восстановление данных с жесткого диска;Восстановление данных с жесткого диска
103;;Восстановление данных с hdd
103;;восстановление жесткого диска
103;;восстановление hdd
103;;восстановление данных с внешного жесткого диска
103;;восстановление данных с внешного диска
103;;восстановление данных с hdd
104;Восстановление данных с флешки;Восстановление данных с флешки
104;;Восстановление данных с usb флешки
104;;Восстановление флешки
104;;Восстановление usb флешки
105;Восстановление данных с карты памяти;Восстановление данных с карты памяти
105;;Восстановление данных с SD
105;;Восстановление данных с карты SD
105;;Восстановление данных с microsd
105;;Восстановление данных с карты microsd
105;;Восстановление карты памяти
105;;Восстановление SD
105;;Восстановление карты SD
105;;Восстановление microsd
105;;Восстановление карты microsd
106;Восстановление данных с SSD;Восстановление данных с SSD
106;;Восстановление SSD
107;Восстановление данных с RAID массива;Восстановление данных с RAID массива
107;;Восстановление данных с RAID 0
107;;Восстановление данных с RAID 1
107;;Восстановление данных с RAID 5
107;;Восстановление данных с RAID 10
107;;Восстановление RAID массива
107;;Восстановление RAID 0
107;;Восстановление RAID 1
107;;Восстановление RAID 5
107;;Восстановление RAID 10
108;Восстановление данных с мобильных устройств;Восстановление данных с мобильных устройств
108;;Восстановление данных с планшета
108;;Восстановление данных с телефона
108;;Восстановление данных с мобильника
108;;Восстановление данных с мобильного телефона
109;Восстановление данных с видеорегистратора;Восстановление данных с видеорегистратора
109;;Восстановление видео с видеорегистратора
109;;Восстановление данных с автомобильного видеорегистратора
109;;Восстановление видео с автомобильного видеорегистратора
110;Восстановление данных с ноутбука;Восстановление данных с ноутбука
111;Восстановление данных с сетевых хранилищ NAS;Восстановление данных с сетевых хранилищ NAS
111;;Восстановление данных с NAS
111;;Восстановление данных с сетевых хранилищ
111;;Восстановление сетевых хранилищ NAS
111;;Восстановление NAS
111;;Восстановление сетевых хранилищ
112;Восстановление данных с фотоаппарата;Восстановление данных с фотоаппарата
112;;Восстановление фото с фотоаппарата
113;Восстановление файлов архивов;Восстановление файлов архивов
113;;Восстановление zip
113;;Восстановление rar
113;;Восстановление 7z
114;Восстановление баз данных;Восстановление баз данных
114;;Восстановление mysql
114;;Восстановление mariadb
114;;Восстановление sql
114;;Восстановление баз данных 1c
115;Восстановление файлов документов;Восстановление файлов документов
115;;Восстановление doc
115;;Восстановление xls
115;;Восстановление файлов word
115;;Восстановление файлов excel
116;Восстановление аудиофайлов;Восстановление аудиофайлов
116;;Восстановление vaw
116;;Восстановление mp3
116;;Восстановление flac
117;Восстановление файлов изображений и фотографий;Восстановление файлов фотографий
117;;Восстановление файлов изображений
117;;Восстановление jpg
117;;Восстановление jpeg
117;;Восстановление bmp
117;;Восстановление tiff
118;Восстановление видео файлов;Восстановление видео файлов
118;;Восстановление avi
118;;Восстановление mpeg
119;Восстановление данных после падения;Восстановление данных после падения
120;Восстановление данных после удаления;Восстановление данных после удаления
121;Восстановление данных после шифрования;Восстановление данных после шифрования
121;;Восстановление зашифрованных данных
122;Восстановление данных после возгорания или пожара;Восстановление данных после возгорания
122;;Восстановление данных пожара
123;Восстановление данных после форматирования;Восстановление данных после форматирования
123;;Восстановление данных после формата
124;Восстановление данных после залития или попадания влаги;Восстановление данных после залития
124;;Восстановление данных попадания влаги
125;Восстановление данных после заражения вирусами;Восстановление данных после заражения вирусами
125;;Восстановление данных после вирусов
126;Восстановление данных после перезаписи;Восстановление данных после перезаписи
127;Монтаж роутера на стену;Монтаж роутера на стену
128;Настройка роутера;Настройка роутера
128;;Настройка wifi роутера
128;;Настройка wi fi роутера
128;;Настройка вай фай роутера
128;;Настройка вайфай роутера
128;;Настройка маршрутизатора
129;Подключение дополнительной антенны к Wi-Fi роутеру;Подключение дополнительной антенны к роутеру
129;;Подключение дополнительной антенны к Wi Fi роутеру
130;Настройка IPTV;Настройка IPTV
131;Настройка IP-камеры;Настройка IP камеры
131;;Настройка цифровой камеры
132;Настройка интернета через мобильный телефон;Настройка интернета через мобильный телефон
132;;Настройка интернета через мобильную сеть
133;Настройка интернета через локальную сеть;Настройка интернета через локальную сеть
134;Получение сетевых настроек от Интернет провайдера;Получение сетевых настроек от Интернет провайдера
135;Настройка браузера;Настройка браузера
135;;Настройка chrome
135;;Настройка opera
135;;Настройка safary
135;;Настройка firefox
135;;Настройка tor
136;Настройка почтового клиента;Настройка почтового клиента
136;;Настройка outlook
136;;Настройка thunderbird
136;;Настройка thebat
136;;Настройка bat
137;Настройка торрент клиента;Настройка торрент клиента
137;;Настройка utorrent
137;;Настройка bittorrent
138;Настройка родительского контроля;Настройка родительского контроля
138;;ограничить детей в интеренете
139;Регистрация почтового ящика;Регистрация почтового ящика
140;Регистрация аккаунта в социальной сети;Регистрация аккаунта в социальной сети
141;Выбор места установки роутера;Выбор места установки роутера
142;Прошивка роутера;Прошивка роутера
142;;Прошивка роутера программатором
